BILLY LE GRAND;161;10
MONTEIGNET SUR L ANDELOT;143;0
VIEUX RUFFEC;231;1
LIETTRES;54;11
DAMMARD;132;1
BUIRE AU BOIS;59;1
MIALET;470;5
ST VAAST DE LONGMONT;128;1
GUISCRIFF;115;11
DROSAY;83;1
AULNAY;685;3
ST CREPIN AUX BOIS;128;6
CHITRY LES MINES;134;1
CHARNAY LES MACON;174;2
CHEVANCEAUX;275;0
MAILLY CHAMPAGNE;136;0
CHAMP HAUT;195;0
ST BAZILE;184;1
MELLERAY;157;0
CORBON;166;0
NEUFMOULINS;81;3
ORSANCO;185;4
HEILLES;59;0
LES ESSARTS LES SEZANNE;154;5
JOUE LES TOURS;181;1
LE NEUFBOURG;251;2
COUESMES;199;3
FRANCESCAS;219;9
CHEVANNES;485;7
STOSSWIHR;146;5
SEMPIGNY;119;1
ST ETIENNE DE CHOMEIL;163;1
IZAUT DE L HOTEL;206;9
BLENOD LES TOUL;168;2
VRIANGE;181;5
ST GERMAIN LES SENAILLY;149;1
BIEF DES MAISONS;353;0
LE FRESNE PORET;257;4
CONCA;35;20
NEULISE;147;3
LIESSE NOTRE DAME;130;4
LA COTE;178;10
CHAUSSENANS;226;1
LE VICEL;110;2
SAULES;396;9
ST LAURENT DE LA PREE;815;56
THEMINETTES;168;1
ST BIHY;165;5
BUCEELS;214;0
GRANDLUP ET FAY;120;3
ANGLIERS;729;7
CLAIRMARAIS;44;4
CARENTAN LES MARAIS;204;6
CHAMPALLEMENT;166;3
MENOUX;137;1
PERQUIE;232;4
CHEVRY SOUS LE BIGNON;141;1
ST JEAN DE MARUEJOLS ET AVEJAN;244;7
CHAILLY EN BIERE;127;3
LA MONSELIE;170;1
NEMPONT ST FIRMIN;58;0
TREFUMEL;257;2
HERMEVILLE EN WOEVRE;184;1
PIERRE LA TREICHE;149;5
VAUCLAIX;151;0
FOSSES ET BALEYSSAC;227;3
PIQUECOS;84;2
SAMBOURG;126;1
MOISENAY;149;2
ST SULPICE SUR RISLE;116;5
LA FRESNAIE FAYEL;190;6
BREY ET MAISON DU BOIS;414;7
AMURE;319;1
CHEROY;135;4
ECHIROLLES;312;1
NOSSAGE ET BENEVENT;331;8
QUISSAC;495;3
FROMY;326;62
HURIEL;171;4
